Model,Feature_Set,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Hyperparameters
KNN,Full,0.7241692185550641,0.6199878493317132,0.6334574798261949,0.6266502916794596,0.807513026228859,n_neighbors=19
KNN,Reduced,0.7256436429624589,0.6187518485655131,0.6492861576660459,0.6336513705891261,0.8071328483964966,n_neighbors=19
