Model,Feature_Set,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Hyperparameters
Neural Network,Full,0.7501417715776341,0.6573016363075023,0.6607697082557418,0.6590311097353351,0.8324359616554864,"hidden_layer_sizes=(100,), activation='relu'"
Neural Network,Reduced,0.7522966995576726,0.6620861961274204,0.6579764121663563,0.660024906600249,0.834011257501904,"hidden_layer_sizes=(100,), activation='relu'"
