Model,Feature_Set,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Hyperparameters
Decision Tree,Full,0.7364182828626517,0.6196695095948828,0.7216014897579144,0.6667622598221967,0.8153350873601896,"criterion=gini, max_depth=5, random_state=1"
Decision Tree,Reduced,0.7343767721447204,0.6260744985673352,0.6781502172563625,0.651072705601907,0.8143659070876108,"criterion=gini, max_depth=5, random_state=1"
