Model,Feature_Set,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Hyperparameters
Random Forest,Full,0.7537711239650675,0.6446462978254885,0.7268777157045313,0.6832968636032093,0.8384606167717585,"n_estimators=200, max_depth=10"
Random Forest,Reduced,0.7488941816944539,0.6393034825870647,0.7178770949720671,0.6763157894736842,0.8345167190045649,"n_estimators=200, max_depth=10"
