Model,Feature_Set,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Hyperparameters
Gaussian NB,Full,0.7050017012589316,0.5701694915254237,0.7830540037243948,0.659866614358572,0.7925237517536108,Default parameters
Gaussian NB,Reduced,0.7062492911421119,0.5680154972018941,0.819056486654252,0.6708185053380783,0.7908823054636105,Default parameters
